entidad,tipo_de_inversion,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
Aguascalientes,Reinversión de utilidades,2016,2,2016-06-01,50.712068360000011,50.71206836000001
Aguascalientes,Cuentas entre compañías,2016,2,2016-06-01,-50.594262359999988,-50.594262359999995
Aguascalientes,Nuevas inversiones,2016,3,2016-09-01,110.46026876000001,110.46026876
Aguascalientes,Reinversión de utilidades,2016,3,2016-09-01,3.7979835500000001,3.79798355
Aguascalientes,Cuentas entre compañías,2016,3,2016-09-01,18.337072069999998,18.33707207
Aguascalientes,Nuevas inversiones,2016,4,2016-12-01,64.022041349999995,64.02204135
Aguascalientes,Reinversión de utilidades,2016,4,2016-12-01,0.7480353700000002,0.7480353700000002
Aguascalientes,Cuentas entre compañías,2016,4,2016-12-01,113.19842088,113.19842088
Aguascalientes,Nuevas inversiones,2017,1,2017-03-01,138.09899667999997,138.09899667999997
Aguascalientes,Reinversión de utilidades,2017,1,2017-03-01,494.59163926000002,494.59163926
Aguascalientes,Cuentas entre compañías,2017,1,2017-03-01,3.5628972800000711,3.562897280000071
Aguascalientes,Nuevas inversiones,2017,2,2017-06-01,108.82061484,108.82061484
Aguascalientes,Reinversión de utilidades,2017,2,2017-06-01,18.580846089999998,18.58084609
Aguascalientes,Cuentas entre compañías,2017,2,2017-06-01,122.41649222000002,122.41649222000002
Aguascalientes,Nuevas inversiones,2017,3,2017-09-01,30.289555689999993,30.289555689999997
Aguascalientes,Reinversión de utilidades,2017,3,2017-09-01,1.8288274700000009,1.828827470000001
Aguascalientes,Cuentas entre compañías,2017,3,2017-09-01,77.236300499999999,77.2363005
Aguascalientes,Nuevas inversiones,2017,4,2017-12-01,83.737697129999987,83.73769712999999
Aguascalientes,Reinversión de utilidades,2017,4,2017-12-01,29.428661590000004,29.428661590000004
Aguascalientes,Cuentas entre compañías,2017,4,2017-12-01,467.74474487999998,467.74474488
Aguascalientes,Nuevas inversiones,2018,1,2018-03-01,5.094529549999999,5.094529549999999
Aguascalientes,Reinversión de utilidades,2018,1,2018-03-01,202.67207588000002,202.67207588
Aguascalientes,Cuentas entre compañías,2018,1,2018-03-01,9.0139481800000283,9.013948180000028
Aguascalientes,Nuevas inversiones,2018,2,2018-06-01,397.68610110000003,397.6861011
Aguascalientes,Reinversión de utilidades,2018,2,2018-06-01,158.69624095999998,158.69624095999998
Aguascalientes,Cuentas entre compañías,2018,2,2018-06-01,84.976182829999999,84.97618283
Aguascalientes,Nuevas inversiones,2018,3,2018-09-01,27.578003750000001,27.57800375
Aguascalientes,Reinversión de utilidades,2018,3,2018-09-01,5.2639655299999992,5.263965529999999
Aguascalientes,Cuentas entre compañías,2018,3,2018-09-01,45.299276000000006,45.299276000000006
Aguascalientes,Nuevas inversiones,2018,4,2018-12-01,74.504820730000006,74.50482073
Aguascalientes,Reinversión de utilidades,2018,4,2018-12-01,5.2674144800000002,5.26741448
Aguascalientes,Cuentas entre compañías,2018,4,2018-12-01,180.92763932999992,180.92763932999992
Aguascalientes,Nuevas inversiones,2019,1,2019-03-01,4.8323870499999995,4.83238705
Aguascalientes,Reinversión de utilidades,2019,1,2019-03-01,156.72407043999999,156.72407044
Aguascalientes,Cuentas entre compañías,2019,1,2019-03-01,6.333411059999956,6.333411059999956
Aguascalientes,Nuevas inversiones,2019,2,2019-06-01,16.886402650000001,16.88640265
Aguascalientes,Reinversión de utilidades,2019,2,2019-06-01,103.21929370999999,103.21929371
Aguascalientes,Cuentas entre compañías,2019,2,2019-06-01,-17.52869042,-17.52869042
Aguascalientes,Nuevas inversiones,2019,3,2019-09-01,23.069735893926207,23.069735893926207
Aguascalientes,Reinversión de utilidades,2019,3,2019-09-01,48.006714640000006,48.006714640000006
Aguascalientes,Cuentas entre compañías,2019,3,2019-09-01,24.21921054000001,24.21921054000001
Aguascalientes,Nuevas inversiones,2019,4,2019-12-01,14.575433079999996,14.575433079999996
Aguascalientes,Reinversión de utilidades,2019,4,2019-12-01,52.055473629999995,52.05547363
Aguascalientes,Cuentas entre compañías,2019,4,2019-12-01,19.729936940000005,19.729936940000005
Aguascalientes,Nuevas inversiones,2020,1,2020-03-01,30.845366160000005,30.845366160000005
Aguascalientes,Reinversión de utilidades,2020,1,2020-03-01,248.30305705999993,248.30305705999996
Aguascalientes,Cuentas entre compañías,2020,1,2020-03-01,-33.249893939999964,-33.249893939999964
